condition,statistic,p,adjusted,mean_bouton_count,control_mean,foldchange,ens99_name,p_legend,log2foldchange,p_label,p_label_pos
aCat_3621_KStim,455,0.766,FALSE,5.7,4.862068965517241,1.172340425531915,α-Cat,N.S.,0.22939156200615798,p=0.77,0.30939156200615797
ATPa_Kstim_30621_TRiP,328,0.0666,FALSE,4.266666666666667,2.3666666666666667,1.8028169014084507,Atpα,N.S.,0.850252880495318,p=0.067,0.930252880495318
CG1648_RNAi_VDRCGD_32686,244.5,0.00381,FALSE,7.655172413793103,3.7333333333333334,2.050492610837438,CG1648,** < 0.01,1.0359705447734482,p=0.0038,1.1159705447734483
Flo2_all_VDRC,1863,0.316,FALSE,5.293103448275862,7.586206896551724,0.6977272727272728,Flo2,N.S.,-0.5192648681544801,p=0.32,-0.5992648681544801
gli_RNAi_KStim_2621_GD,354.5,0.155,FALSE,3.5,2.433333333333333,1.4383561643835618,Gli,N.S.,0.5244209587861056,p=0.16,0.6044209587861056
gs2_RNAi_VDRCSH_330302,534.5,0.131,FALSE,3.6551724137931036,5.466666666666667,0.6686291000841044,Gs2,N.S.,-0.580721949573938,p=0.13,-0.6607219495739379
Kst_KStim_30621,504.5,0.421,FALSE,4.533333333333333,4.4,1.0303030303030303,kst,N.S.,0.04306872189188593,p=0.42,0.12306872189188593
lac_RNAi_VDRCGD_35524,526.5,0.00142,FALSE,4.25,8.379310344827585,0.507201646090535,Lac,** < 0.01,-0.9793686672278694,p=0.0014,-1.0593686672278695
lost_Kstim_5721_25deg,494,0.25,FALSE,4.285714285714286,5.9,0.7263922518159805,lost,N.S.,-0.46117928092356464,p=0.25,-0.5411792809235646
nrg_TRiP_28724_Kstim,361.5,0.363,FALSE,4.857142857142857,3.966666666666667,1.2244897959183672,Nrg,N.S.,0.2921807514933101,p=0.36,0.3721807514933101
Pdi_Kstim_6721,96.5,1.3e-6,FALSE,9.566666666666666,2.8076923076923075,3.4073059360730595,sdk,**** < 0.0001,1.7686314903282443,p=1.3e-06,1.8486314903282444
CG42342,4329.5,3.48e-6,TRUE,5.553846153846154,11.48913043478261,0.48340004366494427,CG42342,**** < 0.0001,-1.0487104914669538,p=3.5e-06,-1.128710491466954
sdk,4354.5,0.158,TRUE,9.829268292682928,11.48913043478261,0.8555276092022983,Pdi,N.S.,-0.2251136814157864,p=0.16,-0.3051136814157864
cold,3714,0.57,TRUE,6.654320987654321,8.097560975609756,0.8217685557042987,cold,N.S.,-0.2831959668609602,p=0.57,-0.36319596686096023
nrv2,2819,1,TRUE,9.397260273972602,8.097560975609756,1.160505033833966,nrv2,N.S.,0.214752780563954,p=1,0.294752780563954
shot,2934,1,TRUE,8.776315789473685,8.097560975609756,1.0838221306277744,shot,N.S.,0.11612801101215868,p=1,0.19612801101215868
Vha55_RNAi_GD_9363,390.5,0.839,FALSE,4.464285714285714,4.703703703703703,0.9491001124859394,Vha55,N.S.,-0.07536782200421416,p=0.84,-0.15536782200421417
